name,description
Western Asset Global Corporate Defined Opportunity Fund Inc.,Handheld sprayer designed for washing pets easily.
Giga-tronics Incorporated,Stylish smartwatch with fitness tracking and notifications.
Quest Diagnostics Incorporated,"Couscous salad with cucumbers, tomatoes, feta, and olives, ready to eat."
Wipro Limited,"Soft and comfortable robe, perfect for lounging at home."
Noah Holdings Ltd.,Sweet mixture of cinnamon and sugar for sprinkling.
argenx SE,Creamy peach-flavored yogurt with real fruit.
"Schneider National, Inc.",A fitted ribbed knit dress that hugs your curves perfectly.
"Chart Industries, Inc.",Regulate water temperature for safe and comfortable showers.
"NCS Multistage Holdings, Inc.",Tool for measuring perfect pasta portions every time.
First Community Corporation,Chic wrap jumpsuit that flatters the body and is perfect for any occasion.
Intuit Inc.,Secure phone mount that wirelessly charges your device while driving.
iShares Commodities Select Strategy ETF,"Crunchy granola with toasted coconut flakes, perfect for breakfast or snacks."
Matlin & Partners Acquisition Corporation,"All-in-one tool for measuring soil moisture, light, and pH."
Taitron Components Incorporated,Set of resistance bands for home workouts.
Principal Price Setters Index ETF,Soft and chewy cookies made with creamy peanut butter.
"American International Group, Inc.",Stylish baskets for organizing various items in your home.
Bunge Limited,A spicy marinade perfect for chicken and fish.
"Inter Parfums, Inc.",Essential tools for on-the-go bike maintenance.
Dell Technologies Inc.,Frozen pizza loaded with fresh vegetables and mozzarella cheese.
"MEI Pharma, Inc.",Beginner telescope for stargazing and exploring.
PowerShares S&P SmallCap Consumer Staples Portfolio,Delicious recipes focusing on plant-based ingredients.
Washington Prime Group Inc.,A sweet and spicy sauce for dipping or cooking.
Morgan Stanley,"Crunchy granola clusters, perfect for snacking or topping yogurt."
Euroseas Ltd.,Storage solutions for keeping your car tidy and organized.
NASDAQ TEST STOCK,Marinated chicken grilled with lemon and herbs.
ePlus inc.,Regulate water temperature for safe and comfortable showers.
Lexington Realty Trust,Ergonomic office chair with lumbar support and adjustable height.
"NuStar Logistics, L.P.",Lightweight tripod designed for smartphone photography.
Keysight Technologies Inc.,"Complete kit with crayons, markers, and paper for young artists."
"Anthem, Inc.","Instant oats with a savory twist, such as herbs and spices."
"GlassBridge Enterprises, Inc.",Sand-resistant and compact for outdoor and beach use.
"NETGEAR, Inc.","Layered Greek yogurt with granola and mixed berries, ready to enjoy."
CBRE Clarion Global Real Estate Income Fund,Luxurious satin slip dress for an elegant evening look.
VelocityShares Daily Inverse VIX Short-Term ETN,Yoga socks designed to provide better grip and stability.
"AquaBounty Technologies, Inc.",Sweet and crunchy honey-flavored graham crackers.
"BioCryst Pharmaceuticals, Inc.",Stylish stand to hold your recipes while cooking.
"LendingTree, Inc.",Classic wooden puzzle game for kids and adults.
"FleetCor Technologies, Inc.",Lightweight and portable picnic table for outdoor use.
NVE Corporation,Soft cookies made with almond butter
"BGC Partners, Inc.",Retro instant camera for capturing and printing photos instantly.
Pacific Special Acquisition Corp.,Herbal tea blend with ginger and turmeric for a soothing drink.
"Imprimis Pharmaceuticals, Inc.",Savory teriyaki sauce for stir-frying veggies or meats.
WSFS Financial Corporation,A rich curry paste for making authentic Thai green curry at home.
"DineEquity, Inc",Quick boiling kettle for small kitchens and dorms.
PowerShares KBW Property & Casualty Insurance Portfolio,Soft cotton graphic tee available in various designs.
"LEAP THERAPEUTICS, INC.",Comfortable kneeling pad for gardening or home projects.
Kenon Holdings Ltd.,"Sweet and fruity peach preserves, perfect for spreading on toast."
Kennedy-Wilson Holdings Inc.,Durable cover to protect your grill from the elements.
Arbor Realty Trust,Wearable device to track fitness activities and heart rate.
PennantPark Floating Rate Capital Ltd.,"Yogurt with the flavors of coconut cream pie, nice and indulgent."
PIMCO New York Municipal Income Fund III,Compact fridge ideal for camping and road trips.
iShares S&P India Nifty 50 Index Fund,Colorful building blocks for creative play.
"SPS Commerce, Inc.",Sustainable bamboo utensils for cooking and serving.
Liberty Media Corporation,"Rich in selenium, perfect for snacking or baking."
Cone Midstream Partners LP,"A creamy spread made with chocolate and hazelnuts, perfect for toast."
Yangtze River Development Limited,"Creamy yogurt made from almond milk, vegan-friendly."
J P Morgan Chase & Co,Leak-proof cooler bag ideal for picnics and camping.
The Health and Fitness ETF,Light and fluffy popcorn coated in aged white cheddar.
Denny's Corporation,Nutritious and quick-cooking red lentils.
"RPC, Inc.",No-bake protein balls with chocolate and coconut flavors.
"Alliance HealthCare Services, Inc.",Water bottle with built-in UV-C light for self-cleaning.
Calamos Dynamic Convertible & Income Fund,Convenient charging stand for smartphones and devices.
"Xenetic Biosciences, Inc.",Quality scissors designed for easy pet grooming.
The Health and Fitness ETF,A cozy long cardigan designed for layering in any season.
Eaton Vance Senior Income Trust,Intricate designs for adults to relax and unwind.
"Safe Bulkers, Inc",Savory wraps with buffalo chicken and fresh vegetables.
"Argos Therapeutics, Inc.",Affordable fitness tracker with heart rate monitor.
AT&T Inc.,Savory popcorn flavored with maple syrup and bacon bits.
"Cooper Companies, Inc. (The)",DIY projector that magnifies your smartphone screen for movie nights.
argenx SE,Oatmeal made with savory spices and vegetables.
Virtusa Corporation,Ready-to-bake cinnamon roll dough for easy breakfasts.
"Intercept Pharmaceuticals, Inc.",Assorted nail polish set for vibrant nails.
iPath US Treasury Steepener ETN,Fresh pre-cut carrot and celery sticks for easy snacking.
Antero Midstream GP LP,"Compact towels that expand when wet, ideal for travel."
Global Partners LP,Water-resistant activity tracker and smartwatch features.
"Coffee Holding Co., Inc.",Bright safety vest for outdoor visibility during any activity.
"Liquidity Services, Inc.","Fresh button mushrooms, great for cooking."
"Old Line Bancshares, Inc.","Delicate ravioli filled with roasted butternut squash and spices, perfect with a sage butter sauce."
Ramco-Gershenson Properties Trust,"A healthy oil extracted from avocados, ideal for frying and salads."
First Trust Taiwan AlphaDEX Fund,"Ready-to-eat beet salad with dressing, great side dish."
Resource Capital Corp.,Multifunctional smartwatch for fitness tracking.
Vident Core US Equity ETF,Assorted nail polish set for vibrant nails.
Travelport Worldwide Limited,Compact camp stove for outdoor cooking.
"Big Lots, Inc.",Tangy whole grain mustard for sandwiches and dressings.
"Planet Fitness, Inc.",Versatile multi-cooker for pressure cooking and slow cooking.
DDR Corp.,Stainless steel travel mug with spill-proof lid.
"Synergy Pharmaceuticals, Inc.",Convenient charging stand for smartphones and devices.
Constellation Brands Inc,Fluffy pancakes with buttermilk flavor.
"TerraForm Global, Inc.","A sweet and spicy salsa made with mangoes and a hint of chili, great with chips or grilled chicken."
IBERIABANK Corporation,Comfortable over-ear headphones with deep bass.
BRT Apartments Corp.,"Trendy leggings with a unique graphic print, versatile for workouts and casual wear."
Golar LNG Partners LP,"Sweet and fruity peach preserves, perfect for spreading on toast."
Telecom Italia S.P.A.,Dairy-free yogurt made from coconut milk.
GP Strategies Corporation,"High in protein, perfect for soups and stews."
"Templeton Emerging Markets Income Fund, Inc.","Wide egg noodles, perfect for casseroles and soups."
"Digital Realty Trust, Inc.",Soft blanket that provides warmth with adjustable settings.
"Hologic, Inc.","A trendy fanny pack, perfect for hands-free outings."
Mercury Systems Inc,"Sweet and tender peach slices preserved in syrup, great for desserts."
Agrium Inc.,Roasted almonds coated in a sweet maple and cinnamon mixture.
Constellation Brands Inc,Leak-proof bottles for travel-sized toiletries.
Atmos Energy Corporation,Durable and shatterproof silicone glasses for outdoor use.
"T-Mobile US, Inc.",Adjustable dog collar with personalized tags.
Canadian National Railway Company,Automatically cooks eggs to your desired level.
"ING Group, N.V.","Spicy sauce made with chili peppers and garlic, great for stir-frying."
"Eagle Pharmaceuticals, Inc.",Modern desk lamp that features a built-in USB charging port.
"China Automotive Systems, Inc.",Storage solutions for keeping your car tidy and organized.
MB Financial Inc.,Solar-powered charger for smartphones and tablets.
The GDL Fund,"A mix of strawberries, blueberries, and raspberries, great for smoothies or desserts."
Pendrell Corporation,Compact organizer for cosmetics during travel.
"Cree, Inc.",A flavorful lentil curry cooked with vegetables and spices.
"Seabridge Gold, Inc.",A nutritious salad with quinoa and black beans
American Express Company,Spacious 2-person camping tent with waterproof cover.
Valvoline Inc.,A sweet and spicy sauce for dipping or cooking.
Mesoblast Limited,Complete watercolor set with paints and brushes.
"Dynex Capital, Inc.",Silicone oven mitts for safe handling of hot cookware.
"Insignia Systems, Inc.",Eco-friendly bags for picking up after your pet.
"Stericycle, Inc.","Farm fresh eggs, essential for breakfast."
"Clear Channel Outdoor Holdings, Inc.",Multi-level scratching post to keep your cat entertained.
"MACOM Technology Solutions Holdings, Inc.",High-quality headphones that block out external noise for immersive listening.
"Intersect ENT, Inc.",Insulated pitcher to keep beverages cold or hot.
"LifePoint Health, Inc.","Continuous stream of fresh water for pets, promoting hydration."
NXT-ID Inc.,"Large, durable tote bag for shopping and outdoor activities."
First American Corporation (The),Set for making fondue at home.
"Schnitzer Steel Industries, Inc.","Assorted herbal teas, perfect for a warm and relaxing drink."
"Famous Dave's of America, Inc.",Durable jump rope for cardio workouts.
Grupo Financiero Galicia S.A.,"Tender riblets coated in a honey barbecue glaze, perfect for grilling or baking."
Gold Fields Limited,Complete fondue set for chocolate and cheese parties.
"Alon USA Partners, LP",Durable and shatterproof silicone glasses for outdoor use.
First Trust TCW Opportunistic Fixed Income ETF,Chic slingback sandals for a relaxed summer vibe.
"Pinnacle Financial Partners, Inc.",Spicy buffalo sauce ideal for wings or dipping.
Harvest Capital Credit Corporation,Nutty flavor perfect for pesto and salads.
Equity Commonwealth,"Creamy yogurt made from coconut milk, dairy-free and delicious."
"ExlService Holdings, Inc.",Savory potato chips with a hint of maple sweetness and crispy bacon flavor.
STMicroelectronics N.V.,Portable case to organize and protect jewelry on trips.
Kenon Holdings Ltd.,Everything you need to make your own scented candles at home.
Purefunds Solactive FinTech ETF,Dried tomatoes packed with deep flavor for salads and pasta.
HollyFrontier Corporation,"Frozen zucchini slices coated in parmesan cheese, perfect for baking or frying."
"AstroNova, Inc.","A comfortable henley shirt made of soft cotton, perfect for casual outings."
CHS Inc,"Nutritious blend of wild rice and quinoa, perfect as a side dish."
Kaman Corporation,"A zesty salsa made with peaches and mangos, great for chips."
"United Bancorp, Inc.",Portable chess set with magnetic pieces for travel.
Nuveenn Intermediate Duration Quality Municipal Term Fund,"Versatile canned black beans, ready to add to any dish."
"MMA Capital Management, LLC",Soft and cozy slippers for indoor wear.
"Fusion Telecommunications International, Inc.","Seasonal pumpkin ice cream, perfect for fall."
Aegon NV,"Durable canvas tote bag, perfect for everyday use."
Intercontinental Exchange Inc.,Delicious and tangy marinade for grilling or baking chicken.
Agenus Inc.,Beginner-friendly acoustic guitar with natural finish.
"BofI Holding, Inc.",Durable skipping rope with adjustable length for workouts.
"Air T, Inc.","A mix of strawberries, blueberries, and raspberries."
BT Group plc,Stability ball for Pilates and yoga workouts.
"Emerald Expositions Events, Inc.",Comfortable wireless headphones designed for sleeping.
Chesapeake Lodging Trust,Eco-friendly electric bike with a 30-mile range.
Sherwin-Williams Company (The),Fun book filled with puzzles and games for kids.
Alphabet Inc.,Programmable digital thermostat for home heating.
Phoenix New Media Limited,Creamy tahini made from ground sesame seeds.
Federal Agricultural Mortgage Corporation,"Thin rice noodles, ideal for stir-fries and soups."
Fidelity and Guaranty Life,Marinated beef strips in teriyaki sauce for easy grilling.
FORM Holdings Corp.,Set of elegant wine glasses for special occasions.
Trimble Inc.,Organize coffee capsules with this stylish dispenser.
Rand Capital Corporation,Sleek and protective sleeve for laptops and tablets.
"Entergy New Orleans, Inc.",Elevated planter box for growing herbs or small plants easily.
Whitestone REIT,Compact hose reel to keep your garden tidy.
"First Capital, Inc.",Everything you need to make delicious spicy tuna rolls at home.
Morgan Stanley China A Share Fund Inc.,Fun and colorful gardening tools designed for children.
"Hill International, Inc.",Stylish wine rack to store and display bottles.
"Tortoise Pipeline & Energy Fund, Inc.",Creamy hummus made with sweet peas and tahini.
"Liquidity Services, Inc.",Set of baking sheets for effortless baking.
Nielsen N.V.,Effective brush for removing loose hair from pets.
"The Herzfeld Caribbean Basin Fund, Inc.",Warmer for heating baby bottles and food jars.
Hugoton Royalty Trust,Classic V-neck sweater crafted from soft wool for warmth and style.
PowerShares High Yield Equity Dividend Achievers Portfolio,Decorative table runner perfect for autumn gatherings.
Ashford Hospitality Trust Inc,Frozen pizza loaded with fresh vegetables and mozzarella cheese.
"Monster Digital, Inc.",All ingredients needed to make your own sushi
Nuveen New York Quality Municipal Income Fund,Crunchy corn chips flavored with chili and lime for a zesty kick.
"Staffing 360 Solutions, Inc.",Compact and portable backpack for day trips and travel.
Transportadora De Gas Sa Ord B,"Light and crispy rice cakes, a perfect low-calorie snack."
DLH Holdings Corp.,Lightweight and portable picnic table for outdoor use.
"RF Industries, Ltd.",Canned beans cooked in a savory chili sauce
John Bean Technologies Corporation,A spicy marinade perfect for chicken and fish.
"Knight Transportation, Inc.",Spicy chili sauce with garlic and sugar for a flavor kick.
"Aevi Genomic Medicine, Inc.",Durable and soft frisbee designed for dogs to play with.
MGM Growth Properties LLC,A healthy vegan cheese alternative packed with nutrients and flavor.
"Four Corners Property Trust, Inc.",Space-saving colander for rinsing fruits and vegetables.
"Ironwood Pharmaceuticals, Inc.",Zesty seasoning great for tacos and grilling.
"Himax Technologies, Inc.","Creamy hummus with a kick of spice, great for dipping."
"Onvia, Inc.",Creamy peanut butter with no added sugar or oils.
Nuveen Preferred and Income 2022 Term Fund,Space-saving adjustable dumbbells for strength training.
"PHI, Inc.",High-resolution camera for stunning photos.
"Core-Mark Holding Company, Inc.","A refreshing drink mix that combines sweet raspberries and tart lemons, perfect for summer."
First Trust Low Duration Opportunities ETF,Adjustable shelving unit for home or garage storage.
"Fortune Brands Home & Security, Inc.","Fresh organic sweet potatoes, great for roasting or mashing."
"Goldman Sachs Group, Inc. (The)","Nutty flavored lentils, perfect for soups and salads."
WisdomTree Middle East Dividend Fund,Microwaveable heat pad for soothing muscle aches.
"Ambarella, Inc.",Comfortable pet carrier for travel and vet visits.
VictoryShares US 500 Volatility Wtd ETF,Durable and versatile backpack for outdoor and travel use.
Diana Containerships Inc.,Space-saving broom holder for organized cleaning supplies.
TravelCenters of America LLC,Space-saving cup that folds flat for easy storage.
"McDermott International, Inc.",Crunchy and flavorful mix of oats and honey.
"Dominion Energy, Inc.",A retro-style button-down shirt with a relaxed fit.
"Boingo Wireless, Inc.",A high-quality protein powder perfect for smoothies and baking.
WisdomTree Emerging Markets Quality Dividend Growth Fund,Plant-based protein powder for post-workout recovery.
WisdomTree Japan Hedged SmallCap Equity Fund,Foldable chair equipped with a cooler pouch.
DDR Corp.,Comprehensive camera and alert system for home security.
W.R. Berkley Corporation,Stylish bookends to keep books organized on shelves.
